number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,kôaⁿ-liû,kôaⁿ7-liû,寒流,寒流,cold wave / cold front (weather),
2,khiâ,khiâ,騎,騎,to ride (bicycle / motorcycle / horse),
3,kha-ta̍h-chhia,kha7-ta̍h3-chhia,跤踏車,自行車/腳踏車,bicycle,"Lit. ""foot-step-vehicle""."
4,ūn-tōng,ūn3-tōng,運動,運動,exercise / sports / physical activity,
5,hiu-hân,hiu7-hân,休閒,休閒,leisure / leisure-time,
6,oa̍h-tāng,oa̍h3-tāng,活動,活動,activity / event,
7,nâ-kîu,nâ7-kîu,籃球,籃球,basketball,
8,i-seng,i7-seng,醫生,醫生,doctor / physician,
9,hoan-hù,hoan7-hù,吩咐,吩咐,to instruct / to order (someone to do),
10,sàn-pō·,sàn2-pō·,散步,散步,to take a walk / to stroll,
11,kong-lō·-chhia,kong7-lō·3-chhia,公路車,公路車,road bike (cycling),
12,chhia-iú,chhia7-iú,車友,車友,fellow cyclist / cycling buddy,
13,chi̍p-ha̍p,chi̍p3-ha̍p,集合,集合,to gather / to assemble,
14,iû-lám-chhia,iû7-lám1-chhia,遊覽車,遊覽車,tour bus / coach,
15,kì-liām kong-hn̂g,kì2-liām kong7-hn̂g,紀念公園,紀念公園,memorial park,
16,súi,súi,媠,美麗/漂亮,beautiful / good-looking,
17,liam-mi,liam7-mi,連鞭,馬上/立刻,immediately / right away,
18,siau-sit,siau7-sit,消失,消失,to disappear / to vanish,
19,chhia-tūi,chhia7-tūi,車隊,車隊,cycling team / peloton / convoy,
20,lú-hêng,lú1-hêng,旅行,旅行,travel / to travel,
21,pòaⁿ-tó,pòaⁿ2-tó,半島,半島,peninsula,
22,khoân-tó,khoân7-tó,環島,環島,to go around the island (cycling/touring Taiwan),
23,Phêⁿ-ô·,Phêⁿ7-ô·,澎湖,澎湖,Penghu (island chain in the Taiwan Strait),
24,Kim-mn̂g,Kim7-mn̂g,金門,金門,Kinmen (island chain near mainland China),
25,Hêng-chhun,Hêng7-chhun,恆春,恆春,Hengchun (town in Pingtung County at southern Taiwan),
26,tâm-kô·,tâm7-kô·,澹糊,濕透,drenched / soaking wet,
27,sim-koaⁿ-té,sim7-koaⁿ7-té,心肝底,心底,deep in the heart / inwardly,
28,thoân-thé,thoân7-thé,團體,團體,group / collective body,
29,kéng-tì,kéng1-tì,景緻,景色,scenery / view,
30,kì-liām,kì2-liām,紀念,紀念,to commemorate / memorial,
31,kín-tiuⁿ,kín1-tiuⁿ,緊張,緊張,nervous / tense,
32,Bó·-tan-siā,Bó·1-tan7-siā,牡丹社,牡丹社,"Botan / Mudan (a Paiwan community in Pingtung)",
33,Pîn-tang,Pîn7-tang,屏東,屏東,Pingtung (county in southern Taiwan),
34,kang-liâu,kang7-liâu,工寮,工寮,work shed / field hut,
35,pîⁿ-tē,pîⁿ7-tē,平地,平地,flatland / lowlands,
36,soaⁿ-tē,soaⁿ7-tē,山地,山地,mountain area / highlands,
37,mê,mê,暝,夜,night,
38,chhoán,chhoán,喘,喘,to pant / breathe heavily,
39,lâu-kōaⁿ,lâu7-kōaⁿ,流汗,流汗,to sweat,
40,koáⁿ-kín,koáⁿ1-kín,趕緊,趕快,to hurry / quickly,
41,oē-bīn,oē3-bīn,畫面,畫面,scene / picture / image,
42,sim-koaⁿ-thâu,sim7-koaⁿ7-thâu,心肝頭,心頭,heart / inmost feelings,
43,lō·-tô·,lō·3-tô·,路途,路途,road / journey / route,
44,sū-kiāⁿ,sū3-kiāⁿ,事件,事件,incident / event (historical),
45,tiōng-iàu,tiōng3-iàu,重要,重要,important / significant,
46,bóe-chhiú,bóe1-chhiú,尾手,最後,finally / in the end / eventually,
47,ōaⁿ,ōaⁿ,換,換,to change / exchange / swap,
48,ke-kiám,ke7-kiám,加減,多少,to varying degrees / somewhat / a little (idiomatic),
49,thiah-khui,thiah2-khui,拆開,拆開,to take apart / disassemble,
50,kong-lō·,kong7-lō·,公路,公路,public road / highway,
51,soaⁿ-téng,soaⁿ7-téng,山頂,山頂,mountaintop / summit,
52,ak,ak,沃,澆/淋,to soak / pour water on,
53,hiaⁿ-tī,hiaⁿ7-tī,兄弟,兄弟,brothers (also used metaphorically for close friends),
54,chá-tǹg,chá1-tǹg,早頓,早餐,breakfast,
55,it-nî sì-kùi,it2-nî sì2-kùi,一年四季,一年四季,all year round / in every season,Set phrase.
56,se̍h-thàu-thàu,se̍h3-thàu2-thàu,踅透透,逛遍/走遍,to wander everywhere / cover every part,
57,séng-la̍t,séng1-la̍t,省力,省力,labor-saving / save effort,
58,sim-sek,sim7-sek,心適,有趣/開心,interesting / amusing / pleasant,
59,chit-chūn,chit2-chūn,這陣,這時/現在,this time / right now / these days,
60,thâu-kang,thâu7-kang,頭工,初步工作,first task / preliminary work,
61,sī-sòa,sī3-sòa,序紲,順便/接續,continuously / in sequence / one after another,Hanji uncertain — variants exist.
62,put-chí-á,put2-chí1-á,不止仔,相當/十分,quite / rather / very (intensifier),
63,khiā,khiā,徛,站/立,to stand,(Same vocab as Maryknoll Ls 13 but used here in essay context.)
64,ûn-ûn-á,ûn7-ûn-á,勻勻仔,慢慢地,slowly / gradually / gently,
65,chhiâng-chāi,chhiâng7-chāi,常在,常常/一向,always / habitually / at all times,
66,hiáng-siū,hiáng1-siū,享受,享受,to enjoy / enjoyment,
67,Hiok-hái,Hiok2-hái,旭海,旭海,Xuhai,A coastal village in Mudan Township in Pingtung County.
68,Káu-phâng,Káu1-phâng,九鵬,九鵬,Jiupeng,An area near Hengchun in Pingtung County.
69,chōa,chōa,逝,趟/段,"measure word for a trip / a stretch (e.g. of road)",
70,mn̂g-mn̂g-á,mn̂g7-mn̂g-á,毛毛仔,毛毛/細細,fine / drizzly,"Often paired with hō· — mn̂g-mn̂g-á-hō· = drizzle."
71,léng-kì-kì,léng1-kì2-kì,冷吱吱,冷颼颼,ice-cold / freezing cold,Reduplicated intensifier.
72,phi̍h-phi̍h-chhoah,phi̍h3-phi̍h3-chhoah,咇咇掣,發抖/打哆嗦,trembling violently (from cold or fear),
73,sui-bóng,sui7-bóng,雖罔,雖然,although / even though,Synonym of sui-jiân.
74,ūn-khì,ūn3-khì,運氣,運氣,luck / fortune,
75,liû,liû,留,留,to stay / to remain (in place),
76,sám-tih,sám1-tih,糝滴,點滴,scattered drops; dripping,"In phrase ""lâu-kōaⁿ sám-tih"" = sweat dripping profusely."
77,phú,phú,殕,發霉,moldy / mold,
78,chhàu-phú,chhàu2-phú,臭殕,發霉味/酸味,stale-smelling / moldy-smelling,
79,chi̍t khang lia̍h siang chiah,chi̍t3 khang7 lia̍h3 siang7 chiah,一空掠雙隻,一舉兩得,(idiom) kill two birds with one stone,"Lit. ""in one hole catch a pair""."
80,sù-kùi jû-chhun,sù2-kùi jû7-chhun,四季如春,四季如春,(idiom) spring-like weather all year round,
81,chiù-chhām,chiù2-chhām,咒讖,詛咒,to curse / imprecation,
82,sat-seng,sat2-seng,殺生,殺生,to take a life / killing (esp. Buddhist sense),
83,phòa-phôe lâu-hoeh,phòa2-phôe lâu7-hoeh,破皮流血,皮破血流,(set phrase) skinned and bleeding / badly hurt,
84,chhùi-khí-kin kā leh,chhùi2-khí1-kin kā3-leh,喙齒根咬咧,咬緊牙根,(idiom) clench one's teeth (and endure / persevere),
85,chìⁿ-hong,chìⁿ2-hong,箭風,刺骨的風,piercing / arrow-like wind,
86,chìⁿ-chúi,chìⁿ2-chúi,濺水,濺水,to splash water,
87,kiám-chhái,kiám1-chhái,敢採,也許/說不定,perhaps / maybe / possibly,
88,kòe-mê,kòe2-mê,過暝,過夜,to spend the night / overnight,
89,keh-tńg-kang,keh2-tńg1-kang,隔轉工,第二天/隔天,the next day / the following day,
90,chia̍h-la̍t,chia̍h3-la̍t,食力,吃力/費勁,strenuous / hard / tough (work),
91,sio-lō,sio7-lō,燒烙,溫暖,warm / cozy (of weather or place),
92,chōng-hóng-hā,chōng3-hóng1-hā,狀況下,狀況下,under the circumstances of,
93,sio-thīn,sio7-thīn,相伨,互相支持,to support / pair up with each other,
94,kâm,kâm,含,含,to hold in the mouth,
95,hāⁿ,hāⁿ,迒,跨,to step over / step across,
96,ka-siōng,ka7-siōng,加上,加上,plus / in addition to,
97,hō·-moa,hō·3-moa,雨幔,雨衣/雨披,rain cape / poncho,
98,sok-pa̍k,sok2-pa̍k,束縛,束縛,to bind / to restrain / restriction,
99,iân-kò·,iân7-kò·,緣故,緣故,reason / cause,
100,thàu-hong,thàu2-hong,透風,通風/有風,windy / well-ventilated,
101,chhù-chiáu-á,chhù2-chiáu1-á,厝鳥仔,麻雀,sparrow,"Lit. ""house bird""."
102,sió-tó,sió1-tó,小島,小島,small island / islet,
103,chhè-siong,chhè2-siong,擦傷,擦傷,abrasion / scrape (injury),
104,chek-jīm,chek2-jīm,責任,責任,responsibility / duty,
105,àm,àm,暗,暗/夜,dark / night,
106,kong-kin,kong7-kin,公斤,公斤,kilogram,
107,kha-thâu-u,kha7-thâu7-u,跤頭趺,膝蓋,knee,
108,lōng-tio̍h,lōng3-tio̍h,撞著,撞到,bumped into / collided with,
109,lō·-kháu,lō·3-kháu,路口,路口,intersection / road junction,
110,chhia-liām,chhia7-liām,車鏈,車鏈,bicycle chain,
111,su-tong-sî,su7-tong7-sî,斯當時,當時,at that time / at that very moment,
112,sio-kēng,sio7-kēng,相挺,互相支持/互相依靠,to lean on / support each other,Hanji uncertain.
113,lōng-tiûⁿ,lōng3-tiûⁿ,弄場,鬧場/搞砸,to cause a scene / disrupt a gathering,
114,kah-au-tú,kah2-au7-tú,跤後肚,小腿,calf (front and back of the lower leg),Hanji approximate; refers to the calf area.
115,í-chū-á,í1-chū3-á,椅苴仔,椅墊,chair cushion / seat pad,
116,lāu-iû,lāu3-iû,漏油,漏油,to leak oil / oil leak,
117,chhut-soaⁿ,chhut2-soaⁿ,出山,出殯,funeral procession,
118,chō·-lí,chō·3-lí,助理,助理,assistant,
119,soán-kí,soán1-kí,選舉,選舉,election,
